"Chapter","WordCount","QualityScore","Emotion","Intensity","BeatType","Title"
"1","1809","8.0","压抑","8","铺垫","第1章 国运开启，全网绝望的醉鬼选手！"
"2","2114","8.0","压抑","9","冲突","第2章 禁地初临，全网唾骂的废物组合！"
"3","1722","8.0","大爽快","9","反转","第3章 一剑封喉，全网死寂！"
"4","1708","8.0","震惊","8","渲染","第4章 万顷绿洲，全球元首集体震怒！"
"5","2034","8.0","期待","7","伏笔","第5章 酒仙洞府，国运暴涨！"
"6","1720","8.0","压抑","7","铺垫","第6章 毒雾封天，全网绝望！"
"7","2579","8.0","压抑","8","冲突","第7章 毒瘴弑神，雷劫降世"
"8","2368","8.0","大爽快","9","反转","第8章 酒气纵横三万里，一剑光寒十九洲"
"9","2056","8.0","震惊","8","渲染","第9章 灵气未醒，豺狼已至"
"10","2478","8.0","期待","7","伏笔","第10章 静电弑神，龙国不可辱"
"11","2999","8.0","压抑","7","铺垫","第11章 龙困浅滩，虎落平阳"
"12","3037","8.0","压抑","9","冲突","第12章 龙血染石，虎啸山林"
"13","3266","8.0","大爽快","10","反转","第13章 隐忍的杀意，暴风雨前的宁静"
"14","2905","8.0","震惊","10","渲染","第14章 万雷天牢，杀伐果断"
"15","2398","8.0","期待","7","伏笔","第15章 系统，给我突破！"
"16","2377","8.0","压抑","8","铺垫","第16章 雷神之锤，国运破百！"
"17","2440","8.0","压抑","9","冲突","第17章 绝缘囚笼，濒死觉醒"
"18","2208","8.0","大爽快","9","反转","第18章 神级降临，龙困浅滩"
"19","3039","8.0","震惊","8","渲染","第19章 龙有逆鳞，触之必死！"
"20","2338","8.0","期待","8","伏笔","第20章 雷神降世，血洗营地！"
"21","2399","8.0","压抑","8","铺垫","第21章 绝境雷池，高维降临！"
"22","1847","8.0","压抑","9","冲突","第22章 神罚之下，蝼蚁之怒！"
"23","2001","8.0","大爽快","10","反转","第23章 神威如狱，跪而不屈！"
"24","2298","8.0","震惊","10","渲染","第24章 雷神真身，血债血偿！"
"25","2070","8.0","期待","7","伏笔","第25章 国运暴涨，扮演度飙升！"
"26","2214","8.0","压抑","7","铺垫","第26章 星辰核心，雷神之翼！"
"27","2799","8.0","压抑","8","冲突","第27章 绝境突破，锤碎星辰！"
"28","2374","8.0","大爽快","9","反转","第28章 龙有逆鳞，触之必死！"
"29","2175","8.0","震惊","8","渲染","第29章 以眼还眼，以牙还牙！"
"30","2437","8.0","期待","9","伏笔","第30章 掌掴神明，脚踩蝼蚁！"
"31","2597","8.0","压抑","8","铺垫","第31章 雷霆欲起，风云压城"
"32","2658","8.0","紧张","9","冲突","第32章 血溅三尺，雷隐九霄"
"33","2433","8.0","大爽快","9","反转","第33章 雷狱锁魂，隐忍待发"
"34","2642","8.0","震惊","8","渲染","第34章 雷破九霄，血染王座"
"35","2325","8.0","期待","7","伏笔","第35章 规则核心，国运登顶"
"36","2397","8.0","压抑","8","铺垫","第36章 斩神之战，雷耀九天"
"37","2271","8.0","紧张","9","冲突","第37章 雷狱绝境，扮演度狂飙！"
"38","1687","8.0","大爽快","9","反转","第38章 虎落平阳，龙困浅滩！"
"39","2308","8.0","震惊","8","渲染","第39章 深渊炼心，杀机暗涌！"
"40","2160","8.0","期待","7","伏笔","第40章 天罚降世，神威如狱！"
"41","2672","8.0","压抑","8","铺垫","第41章 清道夫至，龙困深渊！"
"42","2387","8.0","紧张","9","冲突","第42章 绝境匍匐，獠牙暗藏！"
"43","2757","8.0","大爽快","9","反转","第43章 隐忍的雷暴"
"44","2143","8.0","震惊","8","渲染","第44章 雷神一怒，万军俯首"
"45","2285","8.0","期待","7","伏笔","第45章 SSS级晶核，国运登顶！"
"46","2241","8.0","压抑","8","铺垫","第46章 雷神战铠，硬抗SS级！"
"47","2092","8.0","紧张","8","冲突","第47章 弑神阵下，酒剑仙醒！"
"48","2233","8.0","大爽快","9","反转","第48章 国运核弹，龙国危亡！"
"49","2347","8.0","震惊","9","渲染","第49章 雷神之怒，蓄而不发"
"50","2467","8.0","期待","7","伏笔","第50章 十秒已到，神罚降世！"
"51","2801","8.0","压抑","8","铺垫","第51章 神谕枷锁，龙困浅滩"
"52","2525","8.0","紧张","9","冲突","第52章 神谕之下，龙潜于渊"
"53","2698","8.0","大爽快","10","反转","第53章 怒雷九百，一击必杀"
"54","2412","8.0","震惊","10","渲染","第54章 九百怒雷，碎骨成灰"
"55","2313","8.0","期待","7","伏笔","第55章 扮演度突破！雷神之眼觉醒！"
"56","1930","8.0","压抑","7","铺垫","第56章 国运宝箱！雷神权杖降临！"
"57","2126","8.0","紧张","8","冲突","第57章 七神围杀！濒死突破！"
"58","2187","8.0","大爽快","9","反转","第58章 龙游浅滩遭虾戏，虎落平阳被犬欺！"
"59","2050","8.0","震惊","8","渲染","第59章 忍辱负重，龙困浅滩！"
"60","2029","8.0","期待","8","伏笔","第60章 九雷轰顶，以敌为祭！"
"61","2405","8.0","压抑","8","铺垫","第61章 禁魔石下的雷霆"
"62","2110","8.0","紧张","9","冲突","第62章 神眼之下的囚徒"
"63","2364","8.0","大爽快","9","反转","第63章 六十秒的深渊"
