account.basicInfo.status|Account Status
account.basicInfo.title|Basic Information
account.basicInfo.userId|User ID
account.basicInfo.username|Username
account.changePassword.btn|Change Password
account.changePassword.confirm|Confirm New Password
account.changePassword.confirmPlaceholder|Enter new password again
account.changePassword.current|Current Password
account.changePassword.currentPlaceholder|Enter current password
account.changePassword.new|New Password
account.changePassword.newPlaceholder|Enter new password (at least 6 characters)
account.changePassword.title|Change Password
account.dangerZone.logout.desc|Logout and return to login page
account.dangerZone.logout.title|Logout
account.dangerZone.title|Danger Zone
account.subtitle|Manage your account information and security settings
account.title|Account Settings
accountSwitcher.addAccountFailed|Failed to add account, please retry
accountSwitcher.addCurrent|Add Current Account
accountSwitcher.current|Current
accountSwitcher.currentLogin|Current Login
accountSwitcher.loadUserFailed|Failed to get user info, please refresh and retry
accountSwitcher.loginNew|Login New Account
accountSwitcher.managerNotLoaded|Account Manager Not Loaded
accountSwitcher.noAccounts|No Saved Accounts
accountSwitcher.refreshRetry|Please refresh page and retry
accountSwitcher.reloginRequired|Relogin Required
accountSwitcher.switch|Switch
accountSwitcher.switchFailed|Failed to switch account, please retry
accountSwitcher.title|Switch Account
accountSwitcher.unknownUser|Unknown User
common.cancel|Cancel
common.confirm|Confirm
common.create|Create
common.delete|Delete
common.edit|Edit
common.save|Save
coverMaker.gallery.empty.icon|🎨
coverMaker.genre.ancient_creative|Ancient Creative
coverMaker.genre.anime_derivative|Anime Fanfiction
coverMaker.genre.entertainment|Entertainment Industry
coverMaker.genre.fantasy_creative|Fantasy Creative
coverMaker.genre.fantasy_romance|Fantasy Romance
coverMaker.genre.farming|Countryside Life
coverMaker.genre.female_derivative|Female Fanfiction
coverMaker.genre.female_leads|Female CP
coverMaker.genre.female_suspense|Female Suspense
coverMaker.genre.historical_ancient|Ancient History
coverMaker.genre.historical_creative|Creative History
coverMaker.genre.male_derivative|Male Fanfiction
coverMaker.genre.male_leads|Male CP
coverMaker.genre.modern_creative|Modern Creative
coverMaker.genre.palace_intrigue|Palace Intrigue
coverMaker.genre.period|Period Drama
coverMaker.genre.quick_transmigration|Quick Transmigration
coverMaker.genre.republican_romance|Republican Era Romance
coverMaker.genre.scifi_apocalypse|Sci-Fi Apocalypse
coverMaker.genre.suspense_creative|Creative Suspense
coverMaker.genre.suspense_supernatural|Supernatural Suspense
coverMaker.genre.sweet_romance|Sweet Youth Romance
coverMaker.genre.traditional_fantasy|Traditional Fantasy
coverMaker.genre.urban_creative|Urban Creative
coverMaker.genre.urban_cultivation|Urban Cultivation
coverMaker.genre.urban_daily|Urban Daily
coverMaker.genre.urban_farming|Urban Farming
coverMaker.genre.urban_martial|Urban Martial Arts
coverMaker.genre.war_god_son|War God Son-in-law
coverMaker.genre.war_spy|War Spy
coverMaker.genre.wealthy_president|Wealthy CEO
coverMaker.genre.western_fantasy|Western Fantasy
coverMaker.genre.workplace_marriage|Workplace Romance
coverMaker.selectNovel.empty.icon|📝
